timestamp,symbol,name,outcome,detail
2026-07-22T03:23:14,CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:23:19,DANGEE,Dangee Dums Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:23:24,DNAMEDIA,Diligent Media Corporation Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:23:57,DSSL,Dynacons Systems & Solutions Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:25:59,EMAMIPAP,Emami Paper Mills Limited,generated,
2026-07-22T03:26:03,FABTECH,FABTECH TECHNOLOGIES LTD,generated,
2026-07-22T03:26:06,FCL,Fineotex Chemical Limited,generated,
2026-07-22T03:26:11,FERMENTA,Fermenta Biotech Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:26:17,FIBERWEB,Fiberweb (India) Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:26:22,FINEORG,Fine Organic Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:26:53,FINKURVE,Finkurve Financial Services Limited,generated,
2026-07-22T03:26:58,FIVESTAR,Five-Star Business Finance Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:27:03,FLAIR,FLAIR WRITING INDUST LTD,failed,all providers returned nothing (or unparseable)
2026-07-22T03:27:08,FRONTSP,Frontier Springs Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:27:41,JUBLFOOD,Jubilant FoodWorks Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:28:43,JUNIPER,Juniper Hotels Limited,generated,
2026-07-22T03:28:48,JUSTDIAL,Just Dial Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:28:53,KAMAHOLD,KAMA Holdings Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:28:59,KITEX,Kitex Garments Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:29:30,KKCL,Kewal Kiran Clothing Limited,generated,
2026-07-22T03:29:35,KNAGRI,KN AGRI RESOURCES LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T03:29:40,KOKUYOCMLN,Kokuyo Camlin Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:29:45,KOTAKBANK,Kotak Mahindra Bank Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:30:18,KOTHARIPRO,Kothari Products Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:31:20,KRSNAA,Krsnaa Diagnostics Limited,generated,
2026-07-22T03:31:25,KSL,Kalyani Steels Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:31:36,KSR,KSR Footwear Limited,generated,
2026-07-22T03:31:50,LAGNAM,Lagnam Spintex Limited,generated,
2026-07-22T03:32:21,LANCORHOL,Lancor Holdings Limited,generated,
2026-07-22T03:32:25,LANDMARK,Landmark Cars Limited,generated,
2026-07-22T03:32:30,LAURUSLABS,Laurus Labs Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:32:35,LCCINFOTEC,LCC Infotech Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:32:40,LEMONTREE,Lemon Tree Hotels Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:33:13,LFIC,Lakshmi Finance & Industrial Corporation Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:34:22,LLOYDSME,Lloyds Metals and Energy Limited,generated,
2026-07-22T03:34:26,LOTUSDEV,SRI LOTUS DEVLPRS N RTY L,generated,
2026-07-22T03:34:31,LOTUSEYE,Lotus Eye Hospital and Institute Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:34:36,LOVABLE,Lovable Lingerie Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:34:40,MAHABANK,Bank of Maharashtra,generated,
2026-07-22T03:34:46,MAHLOG,Mahindra Logistics Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:34:51,MAHSEAMLES,Maharashtra Seamless Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:35:04,MALUPAPER,Malu Paper Mills Limited,generated,
2026-07-22T03:35:09,MANAKSIA,Manaksia Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:35:14,MANALIPETC,Manali Petrochemicals Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:35:19,MANAPPURAM,Manappuram Finance Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:35:52,MANOMAY,Manomay Tex India Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:36:55,MANYAVAR,Vedant Fashions Limited,generated,
2026-07-22T03:37:00,MARICO,Marico Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:37:05,MARINE,Marine Electricals (India) Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:37:10,MASFIN,MAS Financial Services Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:37:43,MASTEK,Mastek Limited,generated,
2026-07-22T03:37:48,MBAPL,Madhya Bharat Agro Products Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:38:37,MEDICO,Medico Remedies Limited,generated,
2026-07-22T03:38:43,MEDPLUS,MedPlus Health Services Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:38:48,METROBRAND,Metro Brands Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:38:52,METROGLOBL,MetroGlobal Limited,generated,
2026-07-22T03:38:57,MIRZAINT,Mirza International Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:39:02,MITTAL,Mittal Life Style Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:39:07,MKPL,M. K. Proteins Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:39:42,MOIL,MOIL Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:40:44,MONARCH,Monarch Networth Capital Limited,generated,
2026-07-22T03:40:50,MONEYBOXX,Moneyboxx Finance Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:40:55,MPSLTD,MPS Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:41:00,MRPL,Mangalore Refinery and Petrochemicals Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:41:32,MSPL,MSP Steel & Power Limited,generated,
2026-07-22T03:41:37,MUNJALAU,Munjal Auto Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:41:42,MUTHOOTFIN,Muthoot Finance Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:41:47,NUVAMA,Nuvama Wealth Management Limited,failed,all providers returned nothing (or unparseable)
