timestamp,symbol,name,outcome,detail
2026-07-20T13:39:44,21STCENMGM,Twentyfirst Century Management Services Limited,generated,
2026-07-20T13:39:51,5PAISA,5paisa Capital Limited,generated,
2026-07-20T13:39:57,AAATECH,AAA Technologies Limited,generated,
2026-07-20T13:41:04,AADHARHFC,AADHAR HOUSING FINANCE L,generated,
2026-07-20T13:41:11,AARNAV,Aarnav Fashions Limited,generated,
2026-07-20T13:41:19,AARON,Aaron Industries Limited,generated,
2026-07-20T13:41:31,AARTIIND,Aarti Industries Limited,generated,
2026-07-20T13:41:40,AARTISURF,Aarti Surfactants Limited,generated,
2026-07-20T13:41:47,AARVI,Aarvi Encon Limited,generated,
2026-07-20T13:41:57,AAVAS,Aavas Financiers Limited,generated,
2026-07-20T13:42:02,ABB,ABB India Limited,generated,
2026-07-20T13:42:10,ABBOTINDIA,Abbott India Limited,generated,
2026-07-20T13:42:20,ABCAPITAL,Aditya Birla Capital Limited,generated,
2026-07-20T13:42:28,ABCOTS,A B COTSPIN INDIA LIMITED,generated,
2026-07-20T13:42:36,ABINFRA,A B INFRABUILD LIMITED,generated,
2026-07-20T13:42:44,ABLBL,ADITYA BIRLA LIFES BRAN L,generated,
2026-07-20T13:43:00,ABMINTLLTD,ABM International Limited,generated,
2026-07-20T13:43:10,ABMKNO,ABM Knowledgeware Limited,generated,
2026-07-20T13:43:18,ABSLAMC,Aditya Birla Sun Life AMC Limited,generated,
2026-07-20T13:43:28,ACC,ACC Limited,generated,
2026-07-20T13:44:00,ACCELYA,Accelya Solutions India Limited,generated,
2026-07-20T13:44:08,ACE,Action Construction Equipment Limited,generated,
2026-07-20T13:44:11,ACEINTEG,Ace Integrated Solutions Limited,generated,
2026-07-20T13:44:13,ACI,Archean Chemical Industries Limited,generated,
2026-07-20T13:44:15,ACL,Andhra Cements Limited,generated,
2026-07-20T13:44:18,ACMESOLAR,ACME SOLAR HOLDINGS LTD,generated,
2026-07-20T13:44:20,ACSTECH,ACS Technologies Limited,generated,
2026-07-20T13:44:23,ACUTAAS,Acutaas Chemicals Limited,generated,
2026-07-20T13:44:25,ADANIENSOL,Adani Energy Solutions Limited,generated,
2026-07-20T13:44:28,ADANIENT,Adani Enterprises Limited,generated,
2026-07-20T13:44:30,ADANIGREEN,Adani Green Energy Limited,generated,
2026-07-20T13:44:33,ADANIPORTS,Adani Ports and Special Economic Zone Limited,generated,
2026-07-20T13:44:35,ADANIPOWER,Adani Power Limited,generated,
2026-07-20T13:44:37,ADFFOODS,ADF Foods Limited,generated,
2026-07-20T13:44:40,ADL,Archidply Decor Limited,generated,
2026-07-20T13:44:42,ADOR,Ador Welding Limited,generated,
2026-07-20T13:44:44,ADROITINFO,Adroit Infotech Limited,generated,
2026-07-20T13:44:46,ADSL,Allied Digital Services Limited,generated,
2026-07-20T13:44:49,ADVAIT,Advait Energy Transitions Limited,generated,
2026-07-20T13:44:51,ADVANCE,ADVANCE AGROLIFE LIMITED,generated,
2026-07-20T13:44:53,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,generated,
2026-07-20T13:44:56,ADVENTHTL,Advent Hotels International Limited,generated,
2026-07-20T13:44:58,ADVENZYMES,Advanced Enzyme Technologies Limited,generated,
2026-07-20T13:45:01,AEGISLOG,AEGIS LOGISTICS LIMITED,generated,
2026-07-20T13:45:03,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,generated,
2026-07-20T13:45:05,AEPL,Artemis Electricals and Projects Limited,generated,
